id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
2165|Dautresme|Lucien, Auguste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2165|21|5|1826|18|2|1892
2182|Daynaud|Ferdinand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2182|1|6|1838|8|3|1918
501|de Baudry d'Asson|Léon, Armand, Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/501|15|6|1836|12|5|1915
636|de Benoit|Norbert, Marie, Solange, Guillaume|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/636|12|5|1838|9|2|1906
915|de Boissy d'Anglas|François, Antoine|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/915|19|2|1846|21|1|1921
954|de Bonneval|Anatole, Fernand, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/954|5|11|1838|2|2|1911
1437|de Cardenau de Borda|Alexandre|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1437|28|10|1823|9|3|1904
1564|de Cazenove de Pradines|Edouard, Pierre, Michel|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1564|31|12|1838|13|7|1896
7923|de Clercq|Louis, Constantin, Henri, François-Xavier|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7923|24|12|1837|27|12|1901
1890|de Colbert-Laplace|Jean, Pierre, Louis, Jean-Baptiste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1890|6|7|1843|9|10|1917
1914|de Colombet de Landos|Anatole, Bernard, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1914|7|9|1833|30|9|1898
1980|de Cornulier|Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1980|8|10|1825|6|1|1898
2545|de Dompierre d'Hornoy|Charles, Albert|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2545|24|2|1816|21|3|1901
2577|de Douville-Maillefeu|Gaston|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2577|6|7|1835|29|1|1895
7957|de Gueydon|Louis, Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7957|22|11|1809|1|12|1886
3690|de Guilloutet|Adhémar, Joseph, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3690|6|4|1819|10|11|1902
7962|de Hérédia|Severiano|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7962|8|11|1836|9|2|1901
7972|de Jouvencel|Paul, Hippolyte, Félicité|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7972|16|1|1817|5|4|1897
4125|de Kergariou|Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4125|8|10|1846|21|3|1897
4135|de Kersauson-Vieux-Chatel|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4135|7|7|1850|18|4|1928
7897|de La Batie|Marie-Julien|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7897|8|9|1832|28|4|1912
4172|de La Bourdonnaye|Marie, Ferdinand, Raoul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4172|12|5|1837|3|2|1911
7946|de La Forge|Anatole|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7946|1|4|1821|6|6|1892
4903|de la Jumellière de Maillé|Armand, Urbain, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4903|1|7|1816|9|6|1903
4182|de La Noue|Charles-Adolphe|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4182|6|3|1843|13|7|1908
4183|de La Porte|Amédée|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4183|20|6|1848|10|6|1900
7974|de Laborde-Noguez|Amédée, Simon, Gratien|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7974|21|7|1823|23|2|1910
4171|de Laborie de La Batut|Charles-Ferdinand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4171|9|5|1854|11|3|1933
4236|de Lacretelle|Pierre, Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4236|21|7|1815|17|2|1899
4298|de Lamarzelle|Gustave|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4298|4|7|1852|16|3|1929
7978|de Lamberterie|Paul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7978|29|5|1839|5|2|1912
4328|de Lanessan|Antoine, Jean-Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4328|13|7|1843|7|11|1919
4339|de Lanjuinais|Paul-Henry|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4339|24|7|1834|2|2|1916
7716|de Legge|Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7716|29|6|1836|3|1|1902
7833|de Lévis-Mirepoix|Félix|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7833|1|5|1846|1|4|1928
7992|de Lhomel|Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7992|11|11|1813|23|3|1906
7998|de Luppé|Joseph, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7998|7|9|1837|3|11|1912
4868|de Mackau|Frédéric, Armand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4868|29|11|1832|6|5|1918
4897|de Mahy|François, Césaire|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4897|22|7|1830|19|11|1906
8002|de Martimprey|Edmond, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8002|2|9|1849|22|11|1892
8010|de Mondenard|Adolphe (Joseph)|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8010|26|1|1839|15|10|1898
